State,Area,2018-Total,2019-Total,2020-Total,2018-Mining and Logging,2019-Mining and Logging,2020-Mining and Logging,2018-Construction,2019-Construction,2020-Construction,2018-Manufacturing,2019-Manufacturing,2020-Manufacturing,"2018-Trade, transportation, and utilities","2019-Trade, transportation, and utilities","2020-Trade, transportation, and utilities",2018-Information,2019-Information,2020-Information,2018-Financial activities,2019-Financial activities,2020-Financial activities,2018-Professional and business services,2019-Professional and business services,2020-Professional and business services,2018-Education and health services,2019-Education and health services,2020-Education and health services,2018-Leisure and hospitality,2019-Leisure and hospitality,2020-Leisure and hospitality,2018-Other services,2019-Other services,2020-Other services,2018-Government,2019-Government,2020-Government
California,Santa Rosa,208.7,209.0,190.1,0.2,0.2,0.2,15.2,16.5,15.9,23.4,23.4,22.2,36.5,36.1,34.0,2.7,2.6,2.3,8.9,8.7,7.5,23.2,23.4,22.5,34.8,35.8,34.1,25.7,25.8,18.4,7.1,7.1,5.9,31.1,29.5,27.1
California,Stockton-Lodi,241.3,247.0,242.3,0.1,0.1,0.1,12.8,13.1,12.9,20.6,20.6,20.5,66.7,69.1,73.4,1.8,1.6,1.2,7.8,7.9,7.8,19.6,20.2,21.1,38.8,39.1,37.1,22.0,22.6,18.4,7.6,7.8,6.7,43.5,44.9,43.1
California,Vallejo-Fairfield,142.1,143.4,132.9,0.6,0.5,0.4,11.2,12.3,10.9,12.7,12.5,12.3,27.8,27.0,25.8,1.1,1.2,0.9,5.2,5.1,4.9,10.1,10.2,9.4,28.4,29.0,28.5,15.6,16.1,12.3,4.5,4.7,4.0,24.9,24.8,23.5
California,Visalia-Porterville(1),126.3,128.4,123.9,–,–,–,6.1,6.4,6.5,13.0,12.9,12.6,28.0,27.7,26.9,0.7,0.7,0.6,4.1,4.0,3.8,11.0,11.4,10.9,16.1,17.1,17.4,11.8,12.1,10.6,3.5,3.5,3.1,32.3,32.7,31.6
California,Yuba City(1),44.4,46.3,45.6,–,–,–,2.6,2.9,2.8,2.2,2.3,2.1,9.1,9.4,9.6,0.3,0.3,0.2,1.4,1.5,1.4,3.2,3.2,3.4,8.4,8.8,8.7,4.6,4.7,3.9,1.1,1.2,1.1,11.5,12.0,12.3
Colorado,Total,2727.3,2790.1,2644.6,28.6,28.8,21.8,173.2,179.1,174.6,147.5,150.5,146.5,470.4,477.9,468.3,75.6,77.1,74.6,171.6,174.6,172.4,423.5,439.2,430.5,340.7,347.6,337.3,339.7,345.4,271.2,110.9,114.8,106.3,445.6,455.1,441.0
Colorado,Boulder(1),194.7,199.0,187.2,–,–,–,5.8,5.9,5.6,19.1,19.9,20.2,25.8,25.9,24.9,8.2,8.5,8.5,7.2,7.3,7.2,35.8,37.6,38.1,26.2,26.5,24.7,21.5,21.4,15.9,6.2,6.3,5.8,38.9,39.7,36.5
Colorado,Colorado Springs(1),292.5,300.0,289.5,–,–,–,17.9,18.6,18.5,11.8,11.9,11.7,44.0,44.1,43.3,5.8,5.7,5.3,18.5,18.9,18.9,45.5,46.9,47.3,39.6,41.1,41.4,38.8,39.6,32.2,17.6,18.3,17.3,53.2,55.0,53.6
Colorado,Denver-Aurora-Lakewood(1),1503.0,1538.4,1458.5,–,–,–,108.4,111.9,108.6,69.8,70.8,69.0,273.6,279.3,274.6,50.7,51.6,50.8,111.4,113.1,111.6,271.0,280.8,273.0,188.7,192.1,184.9,169.3,172.8,131.0,57.7,59.4,54.0,202.4,206.7,201.1
Colorado,Fort Collins(1),170.1,174.1,165.6,–,–,–,11.7,11.8,11.6,14.3,14.6,14.0,27.5,27.9,27.2,3.1,3.4,3.1,7.0,6.9,6.8,20.1,20.4,20.1,18.1,18.8,18.1,21.8,22.1,17.6,6.3,6.7,6.2,40.2,41.7,41.0
Colorado,Grand Junction(1),64.3,65.2,61.7,–,–,–,7.0,6.9,5.7,3.1,3.1,3.0,13.2,13.3,12.9,0.6,0.6,0.5,3.1,3.2,3.1,5.2,5.2,4.9,11.2,11.6,11.7,7.9,7.9,6.8,2.6,2.7,2.5,10.4,10.8,10.6
Colorado,Greeley(1),109.4,113.4,105.5,–,–,–,20.0,21.4,17.1,13.7,14.3,13.8,19.0,19.5,19.3,0.7,0.7,0.5,4.5,4.5,4.5,10.6,11.0,11.0,10.3,10.5,10.2,9.5,9.8,8.5,3.6,3.8,3.6,17.7,18.0,17.1
Colorado,Pueblo(1),62.9,63.7,62.2,–,–,–,3.5,3.6,3.7,4.4,4.7,4.5,11.7,11.9,11.8,0.7,0.6,0.5,1.9,1.9,1.8,6.1,6.5,6.9,12.9,12.9,12.9,6.9,6.8,5.8,2.1,2.2,2.1,12.8,12.7,12.2
Connecticut,Total,1699.5,1696.1,1564.7,0.5,0.5,0.5,58.8,59.7,56.2,160.7,161.9,153.6,296.7,292.6,276.9,31.7,31.6,29.3,125.5,123.7,120.1,221.0,218.9,205.3,344.7,348.1,325.8,157.8,157.6,117.0,65.6,65.4,56.2,236.4,236.0,223.8
Connecticut,Bridgeport-Stamford-Norwalk(1),409.6,406.9,369.5,–,–,–,12.6,12.8,12.2,28.9,28.8,27.1,69.4,67.5,61.9,12.1,12.2,11.5,38.8,37.5,35.8,65.8,66.0,61.8,76.6,76.8,70.5,43.5,43.6,32.7,17.8,17.8,15.1,44.2,43.9,41.0
Connecticut,Danbury(2),78.1,77.7,71.0,–,–,–,–,–,–,–,–,–,17.3,17.0,15.6,–,–,–,–,–,–,10.0,9.9,9.0,–,–,–,8.0,7.8,5.8,–,–,–,9.8,9.9,9.8
Connecticut,Hartford-West Hartford-East Hartford(1),585.1,587.0,546.1,–,–,–,19.9,20.1,19.1,59.1,60.2,56.5,92.2,91.1,85.8,9.9,9.8,9.2,56.5,56.3,54.9,74.0,73.8,70.0,111.7,113.3,105.8,48.3,48.3,35.4,22.7,22.7,20.1,90.8,91.5,89.3
Connecticut,New Haven(1),290.1,292.1,277.6,–,–,–,10.9,11.2,10.4,23.6,24.1,23.3,52.0,52.6,53.2,4.5,4.4,3.8,12.1,12.0,11.7,31.2,30.4,29.7,82.8,84.6,81.4,25.9,26.1,19.4,11.3,11.3,9.9,35.8,35.5,35.1
Connecticut,Norwich-New London-Westerly(1),130.6,129.8,113.4,–,–,–,3.9,4.1,3.9,17.5,17.8,17.4,22.7,22.0,20.0,1.4,1.4,1.3,2.9,2.9,2.7,9.2,9.1,8.6,21.6,21.9,20.2,17.0,17.0,12.2,3.6,3.5,2.8,30.8,30.2,24.3
Connecticut,Waterbury(1),69.6,69.0,63.0,–,–,–,2.9,3.0,2.8,7.8,7.5,6.9,13.0,12.9,12.0,0.6,0.6,0.5,2.1,2.0,1.9,5.5,5.3,4.7,18.5,18.6,16.8,5.9,5.8,4.6,2.7,2.7,2.3,10.6,10.6,10.4
Delaware(1),Total,461.6,466.8,439.0,–,–,–,22.3,23.0,22.4,27.1,27.3,25.6,80.7,80.8,77.6,4.1,3.9,3.7,47.8,47.9,47.2,63.5,64.0,61.7,79.7,81.1,77.6,51.8,53.0,41.3,18.5,18.7,16.4,66.2,66.9,65.6
Delaware(1),Dover(1),69.6,70.5,67.1,–,–,–,2.6,2.8,2.8,5.0,4.9,4.8,13.6,13.5,12.9,0.4,0.5,0.4,1.7,1.7,1.6,5.2,5.4,5.9,11.2,11.5,10.9,8.2,8.3,6.4,2.7,2.7,2.3,19.0,19.3,19.2
Delaware(1),Salisbury(1)(3),162.4,164.6,152.9,–,–,–,9.1,9.4,9.3,14.5,14.6,13.8,32.0,31.7,30.3,1.2,1.2,1.1,6.5,6.4,6.3,14.6,15.4,14.5,25.7,26.5,26.1,29.2,29.4,23.3,5.5,5.7,5.0,24.2,24.4,23.4
District of Columbia(1),Total,792.8,797.2,747.2,–,–,–,15.7,14.8,15.1,1.3,1.3,1.0,33.2,33.1,29.2,19.2,20.0,19.8,29.6,29.8,29.0,168.2,170.8,166.9,130.7,130.4,125.0,79.8,81.7,47.7,76.8,77.4,73.5,238.4,237.9,240.2
District of Columbia(1),Washington-Arlington-Alexandria(1),3307.8,3348.0,3151.0,–,–,–,160.9,164.9,161.1,55.5,56.7,54.2,408.4,409.1,382.4,74.9,76.3,74.3,159.1,160.8,155.6,760.9,778.7,768.3,442.5,449.3,421.4,333.6,337.1,240.0,208.7,210.1,192.9,703.2,705.3,700.8
Florida,Total,8782.7,8966.4,8498.6,5.7,5.7,5.4,542.6,565.3,561.4,372.8,384.7,376.7,1780.1,1805.9,1739.5,139.3,139.2,130.1,575.8,592.5,592.6,1363.9,1392.8,1353.0,1305.0,1343.3,1307.4,1229.4,1259.0,1002.8,353.1,353.4,320.8,1115.0,1124.8,1108.9
Florida,Cape Coral-Fort Myers(1),271.1,278.4,267.2,–,–,–,30.7,32.6,33.1,6.3,6.5,6.4,54.1,54.8,53.2,2.8,2.8,2.8,13.6,14.0,13.5,37.2,37.6,36.4,30.1,31.4,30.7,41.9,43.6,36.7,11.6,11.7,10.7,42.9,43.5,43.7
Florida,Crestview-Fort Walton Beach-Destin(1),115.6,118.3,115.6,–,–,–,6.9,6.9,6.9,3.0,3.2,3.4,21.1,21.2,20.3,1.2,1.3,1.3,7.0,7.1,7.0,17.0,17.9,18.5,11.9,12.5,12.2,22.3,22.6,20.4,4.8,4.9,4.7,20.5,20.8,20.9
Florida,Deltona-Daytona Beach-Ormond Beach(1),204.1,206.2,198.6,–,–,–,13.8,14.2,14.2,11.8,11.4,10.7,38.7,38.9,38.1,2.4,2.4,2.0,8.5,8.7,9.0,23.2,23.4,23.5,39.8,40.7,39.6,33.0,32.9,27.8,9.0,8.9,8.1,24.0,24.9,25.7
